Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H2Kc_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	H42Kc_mean	H2KH5Kc_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H2Ku_mean	H5Ku_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	H42Ku_mean	H2KH5Ku_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	oF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	oF1_mean	oF2_mean	oF3_mean	oF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	oB1_mean	oB2_mean	oB3_mean	oB4_mean	epoch_mean	soe_mean	
Gai.mat	"1-a-short-glottal"	154.993	241.778	19.524	19.265	10.067	-1.134	-2.530	0.954	-0.201	0.259	9.198	20.658	22.054	18.570	10.268	15.214	19.521	8.869	2.782	3.655	8.821	14.035	0.188	20.077	21.678	20.472	27.357	18.292	1.541	2.299	-15.416	-1.601	1.206	-7.280	1.785	18.536	18.173	17.377	190.101	161.893	191.260	188.056	NaN	853.352	1729.682	2947.520	4332.003	852.425	1661.477	2937.247	3921.854	NaN	NaN	NaN	NaN	140.305	128.285	207.234	719.577	117.429	175.317	866.189	1751.273	NaN	NaN	NaN	NaN	0.182	0.021	
Gai.mat	"2-i-short-glottal"	241.778	447.722	14.792	7.552	8.666	0.752	-12.208	10.038	6.414	7.240	-1.114	14.039	26.999	4.754	2.252	29.679	16.564	2.978	3.201	12.645	20.129	22.279	0.016	16.927	16.488	5.690	19.641	-5.534	-5.197	-12.938	-23.265	0.440	10.798	-2.713	22.461	22.124	18.628	10.974	167.783	108.759	125.706	169.793	NaN	389.306	1476.290	2829.493	3535.822	458.134	1985.822	2921.766	4289.042	NaN	NaN	NaN	NaN	134.806	564.667	180.025	379.753	219.378	1572.837	341.811	2045.528	NaN	NaN	NaN	NaN	0.174	0.017	
aGa.mat	"1-a-short-glottal"	127.354	215.402	15.279	13.333	-0.114	-5.584	-10.575	-1.003	-0.157	1.946	13.447	20.863	25.854	16.282	0.043	20.912	17.511	3.000	6.043	3.794	13.483	18.961	0.570	15.963	16.292	22.439	23.435	13.457	-5.643	-7.963	-21.069	-0.329	-6.147	-7.472	2.506	21.606	30.402	12.764	201.503	165.481	204.763	216.811	NaN	858.571	1392.112	2914.178	4010.004	798.588	1287.316	2929.449	4399.298	NaN	NaN	NaN	NaN	141.222	150.984	93.909	721.785	99.762	159.880	286.841	1842.507	NaN	NaN	NaN	NaN	0.157	0.048	
aGa.mat	"2-a-short-glottal"	242.999	353.387	8.207	12.117	5.775	-15.944	-19.665	-6.687	-10.846	-3.910	6.342	24.151	27.872	14.894	16.621	15.917	16.243	0.973	2.858	1.701	10.594	15.440	0.116	8.497	13.324	11.757	16.084	7.568	-6.681	-14.010	-26.763	-4.827	1.567	-7.587	0.929	15.178	25.767	12.491	132.524	103.152	178.393	171.237	NaN	996.835	1501.234	2949.149	4001.936	759.933	1331.520	2956.632	4301.575	NaN	NaN	NaN	NaN	235.960	269.120	98.796	750.133	230.853	208.984	195.937	964.302	NaN	NaN	NaN	NaN	0.144	0.033	
ai.mat	"1-a-short-modal"	109.075	316.273	19.063	8.761	-7.265	-21.347	-24.694	-12.295	-16.426	10.303	16.026	40.410	43.758	31.358	9.161	10.766	16.203	0.749	7.723	12.879	19.458	23.417	0.007	19.450	10.378	0.972	8.382	-1.661	-10.221	-14.741	-27.192	9.072	9.406	11.068	21.112	29.671	15.713	12.188	167.675	149.067	166.646	167.551	NaN	915.389	1661.885	2887.390	4203.994	590.510	1529.177	2980.719	4569.153	NaN	NaN	NaN	NaN	234.878	218.955	173.175	900.191	545.393	495.521	331.528	2473.207	NaN	NaN	NaN	NaN	0.168	0.060	
ai.mat	"2-i-short-modal"	316.273	513.833	18.351	4.632	-8.834	-16.154	-14.395	-13.867	-12.195	13.719	13.467	34.505	32.746	32.219	3.360	14.507	15.878	0.566	6.278	22.678	29.874	30.390	0.022	19.506	10.791	-5.619	6.576	-11.627	-11.122	-17.784	-26.702	8.715	16.410	12.930	31.133	30.628	12.166	9.178	185.625	186.123	181.882	184.969	NaN	547.169	2521.908	3124.237	4426.358	338.064	2668.365	3328.554	4652.555	NaN	NaN	NaN	NaN	275.237	346.471	207.332	512.908	196.731	619.685	744.430	2667.440	NaN	NaN	NaN	NaN	0.181	0.049	
aka.mat	"1-a-short-modal"	327.730	381.610	9.135	9.921	-4.543	-16.832	-21.246	-11.778	-11.241	-0.786	14.463	25.967	30.381	20.913	6.698	17.982	16.362	0.477	6.822	7.426	15.487	20.893	0.031	9.662	12.167	9.326	12.261	1.994	-12.152	-14.878	-29.222	-2.505	2.842	-2.599	7.668	21.814	24.204	13.569	187.699	187.106	187.000	185.653	NaN	858.375	1513.068	2813.691	4140.082	713.349	1344.952	2829.451	4575.367	NaN	NaN	NaN	NaN	267.764	186.458	180.468	885.134	218.044	237.880	312.776	1044.491	NaN	NaN	NaN	NaN	0.182	0.031	
aka.mat	"2-a-short-modal"	514.339	637.869	7.967	10.108	16.900	1.214	0.656	3.797	5.103	-2.142	-6.791	6.753	7.311	4.170	11.797	33.903	16.766	0.365	10.015	17.961	23.688	28.838	0.012	15.527	6.718	0.175	12.607	-2.501	-16.411	-16.408	-28.800	8.809	6.543	2.920	18.028	31.938	16.583	12.578	217.443	218.877	216.088	218.451	NaN	263.250	1681.786	2830.055	4348.656	447.172	1602.291	2881.039	4916.883	NaN	NaN	NaN	NaN	134.040	101.796	338.744	863.917	261.935	162.756	480.165	1509.123	NaN	NaN	NaN	NaN	0.216	0.062	
kaGa.mat	"1-a-short-glottal"	110.185	174.578	16.543	8.115	-6.359	-9.868	-13.154	-4.399	-3.911	8.428	14.474	26.411	29.697	20.942	-2.448	19.991	17.414	1.696	4.561	4.310	12.160	17.541	0.283	17.342	11.653	17.214	17.936	8.719	-6.086	-9.553	-23.902	5.689	-5.561	-0.593	8.624	23.428	26.766	14.127	215.046	142.087	217.821	219.473	NaN	845.009	1451.569	2766.000	3992.088	786.349	1353.399	2783.510	4247.441	NaN	NaN	NaN	NaN	165.079	194.699	138.273	957.529	174.954	240.837	224.537	1521.288	NaN	NaN	NaN	NaN	0.182	0.031	
kaGa.mat	"2-a-short-glottal"	235.029	323.077	11.401	11.647	4.328	-18.764	-19.176	-10.085	-9.894	-0.247	7.319	30.165	30.577	21.486	14.222	15.731	16.171	1.090	-1.107	-0.819	8.551	14.598	0.161	11.661	12.727	9.624	14.057	9.283	-10.305	-12.776	-25.625	-1.066	3.102	-2.396	2.378	21.966	22.400	13.073	132.043	18.487	61.047	161.320	NaN	986.223	1471.730	2992.328	4346.240	755.069	1348.607	3000.311	4711.452	NaN	NaN	NaN	NaN	273.518	214.950	211.122	814.981	325.895	193.400	289.866	2719.688	NaN	NaN	NaN	NaN	0.157	0.042	
