Filename	Label	seg_Start	seg_End	H1c_mean	H1H2c_mean	CPP_mean	Energy_mean	HNR05_mean	strF0_mean	sF0_mean	pF0_mean	sF1_mean	sF2_mean	sF3_mean	soe_mean	
Gai.mat	"1-a-short-glottal"	154.993	241.778	19.524	0.259	19.521	8.869	2.782	190.101	161.893	191.260	853.352	1729.682	2947.520	0.021	
Gai.mat	"2-i-short-glottal"	241.778	447.722	14.792	7.240	16.564	2.978	3.201	167.783	108.759	125.706	389.306	1476.290	2829.493	0.017	
aGa.mat	"1-a-short-glottal"	127.354	215.402	15.279	1.946	17.511	3.000	6.043	201.503	165.481	204.763	858.571	1392.112	2914.178	0.048	
aGa.mat	"2-a-short-glottal"	242.999	353.387	8.207	-3.910	16.243	0.973	2.858	132.524	103.152	178.393	996.835	1501.234	2949.149	0.033	
ai.mat	"1-a-short-modal"	109.075	316.273	19.063	10.303	16.203	0.749	7.723	167.675	149.067	166.646	915.389	1661.885	2887.390	0.060	
ai.mat	"2-i-short-modal"	316.273	513.833	18.351	13.719	15.878	0.566	6.278	185.625	186.123	181.882	547.169	2521.908	3124.237	0.049	
aka.mat	"1-a-short-modal"	327.730	381.610	9.135	-0.786	16.362	0.477	6.822	187.699	187.106	187.000	858.375	1513.068	2813.691	0.031	
aka.mat	"2-a-short-modal"	514.339	637.869	7.967	-2.142	16.766	0.365	10.015	217.443	218.877	216.088	263.250	1681.786	2830.055	0.062	
kaGa.mat	"1-a-short-glottal"	110.185	174.578	16.543	8.428	17.414	1.696	4.561	215.046	142.087	217.821	845.009	1451.569	2766.000	0.031	
kaGa.mat	"2-a-short-glottal"	235.029	323.077	11.401	-0.247	16.171	1.090	-1.107	132.043	18.487	61.047	986.223	1471.730	2992.328	0.042	
koGu.mat	"1-o-short-glottal"	167.140	223.641	15.259	8.602	16.710	8.866	3.881	262.711	265.833	268.118	535.336	1140.815	2790.361	0.035	
koGu.mat	"2-u-short-glottal"	284.793	396.801	17.068	3.731	15.888	3.101	-0.308	165.327	149.780	240.357	456.304	979.304	2850.503	0.063	
kou.mat	"1-o-short-modal"	258.052	498.542	13.007	-2.459	18.710	20.469	8.858	188.320	188.695	190.771	518.633	1033.718	2781.886	0.056	
kou.mat	"2-u-short-modal"	498.542	660.182	10.456	-1.433	15.491	1.007	3.138	228.988	231.990	227.261	306.604	1308.291	2737.028	0.054	
kouL.mat	"1-o-short-modal"	183.771	371.840	15.715	0.582	17.661	10.577	4.053	203.402	196.972	204.571	405.101	1091.566	2739.590	0.056	
kouL.mat	"2-u-long-modal"	371.840	664.019	17.660	-0.226	17.621	5.994	5.656	246.788	246.760	242.935	344.032	953.788	2651.124	0.080	
noGu.mat	"1-o-short-glottal"	203.659	267.468	23.627	14.075	18.396	6.587	4.782	236.672	239.854	237.496	510.949	1350.117	2842.147	0.082	
noGu.mat	"2-u-short-glottal"	334.636	465.612	15.828	7.704	15.669	1.454	-1.101	160.098	127.638	161.543	407.391	1010.448	2776.440	0.041	
noLu.mat	"1-o-long-modal"	206.389	444.834	19.190	4.425	19.165	7.607	9.403	194.051	194.180	197.207	539.792	1156.249	2828.174	0.063	
noLu.mat	"2-u-short-modal"	444.834	595.961	11.085	-4.378	15.915	1.871	-1.672	110.105	106.758	111.874	351.294	956.151	2686.626	0.058	
nou.mat	"1-o-short-modal"	177.954	374.419	10.721	0.382	19.414	2.846	12.269	180.330	181.401	182.737	526.120	1225.698	2848.900	0.057	
nou.mat	"2-u-short-modal"	374.419	471.812	5.618	2.438	15.364	0.199	7.960	207.298	208.743	201.749	316.992	932.096	2707.873	0.041	
pe.mat	"0-e-short-modal"	153.845	295.016	16.647	-3.126	16.565	3.732	3.768	218.053	220.519	225.440	526.040	2354.096	2925.748	0.070	
peGe.mat	"1-e-short-glottal"	159.929	232.353	18.108	11.498	16.486	5.626	1.884	245.989	204.984	258.981	531.414	2189.441	2868.362	0.046	
peGe.mat	"2-e-short-glottal"	280.246	360.847	10.241	-4.154	17.903	4.146	-2.185	93.432	269.471	277.896	547.434	2567.197	2924.137	0.033	
peLpeL.mat	"1-e-long-modal"	122.913	235.711	18.013	11.890	19.112	5.943	8.332	257.865	259.949	262.238	509.346	2361.390	2949.120	0.078	
peLpeL.mat	"2-e-long-modal"	350.699	474.996	16.184	4.464	16.440	4.747	-0.025	171.728	101.109	155.091	435.541	2216.911	2882.524	0.069	
