Filename	Label	seg_Start	seg_End	H1c_mean	H1c_means001	H1c_means002	H1c_means003	H1H2c_mean	H1H2c_means001	H1H2c_means002	H1H2c_means003	strF0_mean	strF0_means001	strF0_means002	strF0_means003	sF1_mean	sF1_means001	sF1_means002	sF1_means003	sF2_mean	sF2_means001	sF2_means002	sF2_means003	soe_mean	soe_means001	soe_means002	soe_means003	
Gai.mat	"1-a-short-glottal"	154.993	241.778	19.524	21.760	21.788	15.265	0.259	4.842	1.249	-5.020	190.101	192.334	193.534	184.635	853.352	972.943	959.772	633.193	1729.682	1577.357	1770.015	1844.727	0.021	0.037	0.020	0.010	
Gai.mat	"2-i-short-glottal"	241.778	447.722	14.792	14.646	17.970	11.827	7.240	-1.168	10.971	11.930	167.783	172.840	166.894	163.548	389.306	502.617	390.463	277.194	1476.290	1651.136	1342.916	1436.693	0.017	0.015	0.024	0.012	
aGa.mat	"1-a-short-glottal"	127.354	215.402	15.279	14.356	19.158	12.472	1.946	0.452	3.860	1.576	201.503	204.113	209.833	190.946	858.571	867.585	852.264	854.874	1392.112	1389.554	1385.703	1401.867	0.048	0.048	0.049	0.042	
aGa.mat	"2-a-short-glottal"	242.999	353.387	8.207	4.842	13.055	6.819	-3.910	-5.127	0.411	-6.935	132.524	139.546	169.891	87.177	996.835	888.021	935.552	1169.880	1501.234	1418.992	1468.473	1620.855	0.033	0.036	0.037	0.027	
ai.mat	"1-a-short-modal"	109.075	316.273	19.063	12.878	21.267	23.019	10.303	6.730	11.867	12.296	167.675	171.744	166.421	164.808	915.389	956.483	925.824	863.830	1661.885	1558.355	1628.267	1798.306	0.060	0.034	0.069	0.079	
ai.mat	"2-i-short-modal"	316.273	513.833	18.351	21.449	18.616	14.915	13.719	12.315	12.074	16.638	185.625	163.966	176.157	216.503	547.169	631.438	514.647	493.890	2521.908	2001.533	2780.614	2791.110	0.049	0.071	0.050	0.030	
aka.mat	"1-a-short-modal"	327.730	381.610	9.135	10.000	10.052	7.632	-0.786	0.734	-2.075	-0.772	187.699	183.772	189.444	189.952	858.375	924.755	890.631	761.793	1513.068	1479.695	1510.687	1547.147	0.031	0.042	0.027	0.024	
aka.mat	"2-a-short-modal"	514.339	637.869	7.967	9.353	8.235	6.361	-2.142	-0.571	-3.884	-1.968	217.443	208.880	210.337	233.144	263.250	301.526	239.611	247.297	1681.786	1671.353	1697.937	1676.507	0.062	0.080	0.062	0.047	
kaGa.mat	"1-a-short-glottal"	110.185	174.578	16.543	16.443	17.589	15.722	8.428	8.704	8.596	7.986	215.046	224.063	206.760	213.616	845.009	860.508	830.758	842.922	1451.569	1472.295	1467.660	1416.461	0.031	0.055	0.031	0.017	
kaGa.mat	"2-a-short-glottal"	235.029	323.077	11.401	9.540	8.756	15.049	-0.247	-2.062	-6.156	6.671	132.043	132.513	124.501	139.043	986.223	926.415	1059.815	973.291	1471.730	1434.808	1509.040	1471.145	0.042	0.045	0.034	0.050	
koGu.mat	"1-o-short-glottal"	167.140	223.641	15.259	17.046	15.767	13.061	8.602	11.544	6.412	7.656	262.711	267.168	253.213	266.872	535.336	528.815	529.368	546.794	1140.815	1178.860	1131.720	1111.462	0.035	0.049	0.035	0.021	
koGu.mat	"2-u-short-glottal"	284.793	396.801	17.068	13.588	17.119	20.063	3.731	-1.705	1.697	10.399	165.327	169.777	166.343	160.080	456.304	490.721	450.169	428.724	979.304	957.740	907.683	1068.596	0.063	0.045	0.054	0.092	
kou.mat	"1-o-short-modal"	258.052	498.542	13.007	17.423	13.044	8.675	-2.459	0.259	-4.413	-3.247	188.320	201.400	180.358	183.069	518.633	578.485	542.544	436.410	1033.718	1177.221	1083.563	843.757	0.056	0.079	0.053	0.030	
