Filename	Label	seg_Start	seg_End	H1c_mean	H1H2c_mean	CPP_mean	Energy_mean	HNR05_mean	strF0_mean	sF0_mean	sF1_mean	sF2_mean	pF1_mean	pF2_mean	soe_mean	
aGa.mat	"1-a-short-glottal"	127.354	215.402	15.279	1.946	17.511	3.000	6.043	201.503	165.481	858.571	1392.112	798.588	1287.316	0.048	
aGa.mat	"2-a-short-glottal"	242.999	353.387	8.207	-3.910	16.243	0.973	2.858	132.524	103.152	996.835	1501.234	759.933	1331.520	0.033	
aka.mat	"1-a-short-modal"	327.730	381.610	9.135	-0.786	16.362	0.477	6.822	187.699	187.106	858.375	1513.068	713.349	1344.952	0.031	
aka.mat	"2-a-short-modal"	514.339	637.869	7.967	-2.142	16.766	0.365	10.015	217.443	218.877	263.250	1681.786	447.172	1602.291	0.062	
kaGa.mat	"1-a-short-glottal"	110.185	174.578	16.543	8.428	17.414	1.696	4.561	215.046	142.087	845.009	1451.569	786.349	1353.399	0.031	
kaGa.mat	"2-a-short-glottal"	235.029	323.077	11.401	-0.247	16.171	1.090	-1.107	132.043	18.487	986.223	1471.730	755.069	1348.607	0.042	
koGu.mat	"1-o-short-glottal"	167.140	223.641	15.259	8.602	16.710	8.866	3.881	262.711	265.833	535.336	1140.815	560.209	1156.602	0.035	
koGu.mat	"2-u-short-glottal"	284.793	396.801	17.068	3.731	15.888	3.101	-0.308	165.327	149.780	456.304	979.304	521.209	1684.239	0.063	
kou.mat	"1-o-short-modal"	258.052	498.542	13.007	-2.459	18.710	20.469	8.858	188.320	188.695	518.633	1033.718	541.374	1098.017	0.056	
kou.mat	"2-u-short-modal"	498.542	660.182	10.456	-1.433	15.491	1.007	3.138	228.988	231.990	306.604	1308.291	392.259	1643.845	0.054	
kouL.mat	"1-o-short-modal"	183.771	371.840	15.715	0.582	17.661	10.577	4.053	203.402	196.972	405.101	1091.566	487.018	1006.602	0.056	
kouL.mat	"2-u-long-modal"	371.840	664.019	17.660	-0.226	17.621	5.994	5.656	246.788	246.760	344.032	953.788	401.586	925.999	0.080	
noGu.mat	"1-o-short-glottal"	203.659	267.468	23.627	14.075	18.396	6.587	4.782	236.672	239.854	510.949	1350.117	513.987	1352.202	0.082	
noGu.mat	"2-u-short-glottal"	334.636	465.612	15.828	7.704	15.669	1.454	-1.101	160.098	127.638	407.391	1010.448	490.828	1179.210	0.041	
noLu.mat	"1-o-long-modal"	206.389	444.834	19.190	4.425	19.165	7.607	9.403	194.051	194.180	539.792	1156.249	537.041	1171.909	0.063	
noLu.mat	"2-u-short-modal"	444.834	595.961	11.085	-4.378	15.915	1.871	-1.672	110.105	106.758	351.294	956.151	444.202	1416.403	0.058	
nou.mat	"1-o-short-modal"	177.954	374.419	10.721	0.382	19.414	2.846	12.269	180.330	181.401	526.120	1225.698	565.960	1267.170	0.057	
nou.mat	"2-u-short-modal"	374.419	471.812	5.618	2.438	15.364	0.199	7.960	207.298	208.743	316.992	932.096	549.829	1849.123	0.041	
pe.mat	"1-e-short-modal"	153.845	295.016	16.647	-3.126	16.565	3.732	3.768	218.053	220.519	526.040	2354.096	531.986	2500.618	0.070	
peGe.mat	"1-e-short-glottal"	159.929	232.353	18.108	11.498	16.486	5.626	1.884	245.989	204.984	531.414	2189.441	523.079	1984.267	0.046	
peGe.mat	"2-e-short-glottal"	280.246	360.847	10.241	-4.154	17.903	4.146	-2.185	93.432	269.471	547.434	2567.197	551.765	2308.462	0.033	
peLpeL.mat	"1-e-long-modal"	122.913	235.711	18.013	11.890	19.112	5.943	8.332	257.865	259.949	509.346	2361.390	544.864	1989.941	0.078	
peLpeL.mat	"2-e-long-modal"	350.699	474.996	16.184	4.464	16.440	4.747	-0.025	171.728	101.109	435.541	2216.911	518.524	2173.976	0.069	
